qty,disctiption,part no.,MPN,supplier,price per quantity,total,,,,,,,
1,22uF Cap,C86295,CL10A226MP8NUNE,LCSC,0.038,0.038,https://www.lcsc.com/product-detail/C86295.html,,,,,,
6,100nF Cap,C1591,CL10B104KB8NNNC,LCSC,0.0115,0.069,https://www.lcsc.com/product-detail/C1591.html,,,,,,
2,22Ω RES,C2907129,FRC0603J220 TS,LCSC,0.0018,0.0036,https://www.lcsc.com/product-detail/C2907129.html,,,,,,
1,ESP32,C2913202,ESP32-S3-WROOM-1-N16R8,LCSC,5.4159,5.4159,https://www.lcsc.com/product-detail/C2913202.html,,,,,,
2,5.1Ω RES,C2907044,FRC0603F5101TS,LCSC,0.0022,0.0044,https://www.lcsc.com/product-detail/C2907044.html,,,,,,
1, TYPE C,C2765186,TYPE-C 16PIN 2MD(073),LCSC,0.0707,0.0707,https://www.lcsc.com/product-detail/C2765186.html,,,,,,
3,10Ω RES,C2930027,FRC0603J103 TS,LCSC,0.0013,0.0039,https://www.lcsc.com/product-detail/C2930027.html,,,,,,
2,Swtich,C52092028,SH-1808SN-250gf,LCSC,0.0287,0.0574,https://www.lcsc.com/product-detail/C52092028.html,,,,,,
1,EP-Connector,C519265,X05A26H24G,LCSC,0.4197,0.4197,https://www.lcsc.com/product-detail/C519265.html,,,,,,
9,1uF Cap,C913562,GRM188B31H105KAALD,LCSC,0.0619,0.5571,https://www.lcsc.com/product-detail/C913562.html,,,,,,
3,10uF Cap,C96446,CL10A106MA8NRNC,LCSC,0.0533,0.1599,https://www.lcsc.com/product-detail/C96446.html,,,,,,
1,LDO,C51118,AP2112K-3.3TRG1,LCSC,0.1579,0.1579,https://www.lcsc.com/product-detail/C51118.html,,,,,,
1,COIL,C72424,SM3521-680MT,LCSC,0.0402,0.0402,https://www.lcsc.com/product-detail/C72424.html,,,,,,
1, 4.7uF Cap,C19666,CL10A475KO8NNNC,LCSC,0.0218,0.0218,https://www.lcsc.com/product-detail/C19666.html,,,,,,
1,470mΩ Cap,C186564,SR731JTTDR470F,LCSC,0.1195,0.1195,https://www.lcsc.com/product-detail/C186564.html,,,,,,
1,AOS,C485690,AO7400,LCSC,0.0695,0.0695,https://www.lcsc.com/product-detail/C485690.html,,,,,,
3,JSCJ MBR0530,C77336,MBR0530,LCSC,0.0368,0.1104,https://www.lcsc.com/product-detail/C77336.html,,,,,,
,,,,,,7.3189,,,,,,,
